Province,Municipality,Address,Typology,Reflui Trattati,Potenz. (A.E.),Corpo Recettore,Recettore Finale,full_address,fallback_address,Latitude,Longitude
SALERNO,SALERNO,Via A. De Luca,Sovracomunale,Urbani,700000,Fiume Picentino,Fiume Picentino,"Via A. De Luca, SALERNO, Campania, Italy","SALERNO, SALERNO, Campania, Italy",40.6803601,14.7594542
SALERNO,SCAFATI,Via Delle Industrie,Comprensoriale,Urbani,648000,Fosso Molino,Fiume Sarno,"Via Delle Industrie, SCAFATI, Campania, Italy","SCAFATI, SALERNO, Campania, Italy",40.7414045,14.5269604
CASERTA,VILLA LITERNO,Localita' Quarto Di Basso,Comprensoriale,Urbani (85%) -Industriali (15%),631714,Regi Lagni,Regi Lagni,"Localita' Quarto Di Basso, VILLA LITERNO, Campania, Italy","VILLA LITERNO, CASERTA, Campania, Italy",41.0096944,14.0743065
NAPOLI,CASTELLAMMARE DI STABIA,Via Napoli,Comprensoriale,Urbani,500000,Corpo Idrico Superficiale,Mar Tirreno,"Via Napoli, CASTELLAMMARE DI STABIA, Campania, Italy","CASTELLAMMARE DI STABIA, NAPOLI, Campania, Italy",40.7083632,14.4843151
NAPOLI,MARIGLIANO,Località Bosco Estirpato,Comprensoriale,Urbani,400000,Corpo Idrico Superficiale,Regi Lagni,"Località Bosco Estirpato, MARIGLIANO, Campania, Italy","MARIGLIANO, NAPOLI, Campania, Italy",40.9249138,14.4568673
CASERTA,ORTA DI ATELLA,Strada Prov.Le Succivo Marcianise,Comprensoriale,Urbani,391016,Regi Lagni,Regi Lagni,"Strada Prov.Le Succivo Marcianise, ORTA DI ATELLA, Campania, Italy","ORTA DI ATELLA, CASERTA, Campania, Italy",40.966512,14.268029
NAPOLI,CAIVANO,Località Omomorto,Comprensoriale,Urbani,276000,Corpo Idrico Superficiale,Regi Lagni,"Località Omomorto, CAIVANO, Campania, Italy","CAIVANO, NAPOLI, Campania, Italy",40.971332,14.343475
SALERNO,ANGRI,"VIA TAURANO,1",Comprensoriale,Urbani + Industriali,216000,Rio Sguazzatorio,Fiume Sarno,"VIA TAURANO,1, ANGRI, Campania, Italy","ANGRI, SALERNO, Campania, Italy",40.7611232,14.5701003
SALERNO,MERCATO SAN SEVERINO,LOC. COSTA,Comprensoriale,Urbani + Industriali,194400,Torrente Solofrone,Fiume Sarno,"LOC. COSTA, MERCATO SAN SEVERINO, Campania, Italy","MERCATO SAN SEVERINO, SALERNO, Campania, Italy",40.7769492,14.7282772
AVELLINO,MANOCALZATI,Contrada Isca,Sovracomunale,Urbani,160000,Fiume Sabato,Fiume Sabato,"Contrada Isca, MANOCALZATI, Campania, Italy","MANOCALZATI, AVELLINO, Campania, Italy",40.9418653,14.8498042
